A  	Element	Z 	N  	Energy	JPi        	Mass Exc    	Unc     	T1/2 (txt)       	T1/2 (seconds)               	Abund.  	Unc    	Dec Mode	Branching (%)
160	SM     	62	98 	0.0000	0+         	-60233.172  	1.956   	9.6 S 3          	9.6                          	        	       	B-      	100          
161	SM     	62	99 	0.0000	           	-56672.043  	6.817   	4.8 S 4          	4.8                          	        	       	B-      	100          
162	SM     	62	100	0.0000	0+         	-54379.053  	3.523   	2.4 S 5          	2.4                          	        	       	B-      	100          
163	SM     	62	101	0.0000	(1/2-)     	-50599.612  	7.359   	1.23 S +51-47    	1.23                         	        	       	B-      	100          
163	SM     	62	101	0.0000	(1/2-)     	-50599.612  	7.359   	1.23 S +51-47    	1.23                         	        	       	B-N     	             
164	SM     	62	102	0.0000	0+         	-47925.314  	4.099   	1.43 S 24        	1.43                         	        	       	B-      	100          
164	SM     	62	102	0.0000	0+         	-47925.314  	4.099   	1.43 S 24        	1.43                         	        	       	B-N     	             
165	SM     	62	103	0.0000	(5/2-)     	-43510      	400     	0.98 S 21        	0.98                         	        	       	B-      	100          
165	SM     	62	103	0.0000	(5/2-)     	-43510      	400     	0.98 S 21        	0.98                         	        	       	B-N     	             
166	SM     	62	104	0.0000	0+         	-40450      	400     	0.80 S 63        	0.8                          	        	       	B-      	100          
166	SM     	62	104	0.0000	0+         	-40450      	400     	0.80 S 63        	0.8                          	        	       	B-N     	             
167	SM     	62	105	0.0000	           	-35330      	500     	                 	                             	        	       	B-      	100          
167	SM     	62	105	0.0000	           	-35330      	500     	                 	                             	        	       	B-N     	             
168	SM     	62	106	0.0000	0+         	-31640      	300     	                 	                             	        	       	B-      	100          
168	SM     	62	106	0.0000	0+         	-31640      	300     	                 	                             	        	       	B-N     	             
130	EU     	63	67 	0.0000	(1+)       	-33513      	539     	0.90 MS +49-29   	0.0009                       	        	       	P       	100          
131	EU     	63	68 	0.0000	3/2+       	-39464      	400     	17.8 MS 19       	0.0178                       	        	       	P       	89           
131	EU     	63	68 	0.0000	3/2+       	-39464      	400     	17.8 MS 19       	0.0178                       	        	       	EC      	11           
132	EU     	63	69 	0.0000	           	-42200      	400     	                 	                             	        	       	P       	0            
132	EU     	63	69 	0.0000	           	-42200      	400     	                 	                             	        	       	EC      	             
134	EU     	63	71 	0.0000	           	-49800      	300     	0.5 S 2          	0.5                          	        	       	EC      	100          
134	EU     	63	71 	0.0000	           	-49800      	300     	0.5 S 2          	0.5                          	        	       	EP      	0            
135	EU     	63	72 	0.0000	           	-54148      	196     	1.5 S 2          	1.5                          	        	       	EC      	100          
135	EU     	63	72 	0.0000	           	-54148      	196     	1.5 S 2          	1.5                          	        	       	EP      	             
136	EU     	63	73 	0.0000	(7+)       	-56244      	196     	3.3 S 3          	3.3                          	        	       	EC      	100          
136	EU     	63	73 	0.0000	(7+)       	-56244      	196     	3.3 S 3          	3.3                          	        	       	EP      	0.09         
137	EU     	63	74 	0.0000	(11/2-)    	-60145.904  	4.378   	11 S 2           	11                           	        	       	EC      	100          
138	EU     	63	75 	0.0000	(6-)       	-61749.676  	27.945  	12.1 S 6         	12.1                         	        	       	EC      	100          
139	EU     	63	76 	0.0000	(11/2)-    	-65398.051  	13.151  	17.9 S 6         	17.9                         	        	       	EC      	100          
140	EU     	63	77 	0.0000	1+         	-66985.945  	51.538  	1.51 S 2         	1.51                         	        	       	EC      	100          
141	EU     	63	78 	0.0000	5/2+       	-69925.647  	12.639  	40.7 S 7         	40.7                         	        	       	EC      	100          
142	EU     	63	79 	0.0000	1+         	-71308.930  	30.058  	2.34 S 12        	2.34                         	        	       	EC      	100          
143	EU     	63	80 	0.0000	5/2+       	-74241.311  	10.986  	2.59 M 2         	155.4                        	        	       	EC      	100          
144	EU     	63	81 	0.0000	1+         	-75619.175  	10.787  	10.2 S 1         	10.2                         	        	       	EC      	100          
145	EU     	63	82 	0.0000	5/2+       	-77991.524  	3.060   	5.93 D 4         	512352                       	        	       	EC      	100          
146	EU     	63	83 	0.0000	4-         	-77117.603  	6.009   	4.61 D 3         	398304                       	        	       	EC      	100          
147	EU     	63	84 	0.0000	5/2+       	-77544.611  	2.569   	24.1 D 6         	2082240                      	        	       	EC      	99.9978      
147	EU     	63	84 	0.0000	5/2+       	-77544.611  	2.569   	24.1 D 6         	2082240                      	        	       	A       	0.0022       
148	EU     	63	85 	0.0000	5-         	-76297.482  	9.961   	54.5 D 5         	4708800                      	        	       	EC      	100          
148	EU     	63	85 	0.0000	5-         	-76297.482  	9.961   	54.5 D 5         	4708800                      	        	       	A       	0.00000094   
149	EU     	63	86 	0.0000	5/2+       	-76441.317  	3.903   	93.1 D 4         	8043840                      	        	       	EC      	100          
150	EU     	63	87 	0.0000	5-         	-74792.369  	6.231   	36.9 Y 9         	1164450568.4624448           	        	       	EC      	100          
151	EU     	63	88 	0.0000	5/2+       	-74653.098  	1.166   	1.7E+18 Y        	5.36467741568064e25          	47.81   	0.06   	A       	             
152	EU     	63	89 	0.0000	3-         	-72888.500  	1.166   	13.517 Y 9       	426554968.39856005           	        	       	EC      	72.08        
152	EU     	63	89 	0.0000	3-         	-72888.500  	1.166   	13.517 Y 9       	426554968.39856005           	        	       	B-      	27.92        
153	EU     	63	90 	0.0000	5/2+       	-73367.466  	1.171   	STABLE           	infinity                     	52.19   	0.06   	        	             
154	EU     	63	91 	0.0000	3-         	-71738.367  	1.188   	8.601 Y 10       	271421120.3074658            	        	       	B-      	99.982       
154	EU     	63	91 	0.0000	3-         	-71738.367  	1.188   	8.601 Y 10       	271421120.3074658            	        	       	EC      	0.018        
155	EU     	63	92 	0.0000	5/2+       	-71818.337  	1.252   	4.753 Y 14       	149990069.15723577           	        	       	B-      	100          
156	EU     	63	93 	0.0000	0+         	-70082.844  	3.532   	15.19 D 8        	1312416                      	        	       	B-      	100          
157	EU     	63	94 	0.0000	5/2+       	-69459.134  	4.234   	15.18 H 3        	54648                        	        	       	B-      	100          
158	EU     	63	95 	0.0000	(1-)       	-67270.461  	2.032   	45.9 M 2         	2754                         	        	       	B-      	100          
159	EU     	63	96 	0.0000	5/2+       	-66043.386  	4.320   	18.1 M 1         	1086                         	        	       	B-      	100          
160	EU     	63	97 	0.0000	(5-)       	-63493.449  	0.904   	42.6 S 5         	42.6                         	        	       	B-      	100          
161	EU     	63	98 	0.0000	           	-61791.601  	10.400  	26 S 3           	26                           	        	       	B-      	100          
162	EU     	63	99 	0.0000	           	-58722.944  	1.314   	10.6 S 10        	10.6                         	        	       	B-      	100          
163	EU     	63	100	0.0000	           	-56573.819  	0.904   	7.7 S 4          	7.7                          	        	       	B-      	100          
164	EU     	63	101	0.0000	(3)        	-53232.146  	2.068   	4.15 S 20        	4.15                         	        	       	B-      	100          
165	EU     	63	102	0.0000	           	-50729.103  	5.213   	2.3 S 2          	2.3                          	        	       	B-      	100          
166	EU     	63	103	0.0000	           	-46749      	100     	1.7 S 3          	1.7                          	        	       	B-      	100          
166	EU     	63	103	0.0000	           	-46749      	100     	1.7 S 3          	1.7                          	        	       	B-N     	             
167	EU     	63	104	0.0000	(5/2+)     	-43770      	400     	1.3 S 5          	1.3                          	        	       	B-      	100          
167	EU     	63	104	0.0000	(5/2+)     	-43770      	400     	1.3 S 5          	1.3                          	        	       	B-N     	             
168	EU     	63	105	0.0000	(6-)       	-39250      	400     	0.20 S 10        	0.2                          	        	       	B-      	100          
168	EU     	63	105	0.0000	(6-)       	-39250      	400     	0.20 S 10        	0.2                          	        	       	B-N     	             
169	EU     	63	106	0.0000	           	-35660      	500     	                 	                             	        	       	B-      	100          
169	EU     	63	106	0.0000	           	-35660      	500     	                 	                             	        	       	B-N     	             
134	GD     	64	70 	0.0000	0+         	-41530      	400     	                 	                             	        	       	        	             
135	GD     	64	71 	0.0000	(5/2+)     	-44250      	400     	1.1 S 2          	1.1                          	        	       	EC      	100          
135	GD     	64	71 	0.0000	(5/2+)     	-44250      	400     	1.1 S 2          	1.1                          	        	       	EP      	2            
136	GD     	64	72 	0.0000	0+         	-49090      	298     	200 NS           	0.0000002                    	        	       	        	             
137	GD     	64	73 	0.0000	(7/2)      	-51214      	298     	2.2 S 2          	2.2                          	        	       	EC      	100          
137	GD     	64	73 	0.0000	(7/2)      	-51214      	298     	2.2 S 2          	2.2                          	        	       	EP      	             
138	GD     	64	74 	0.0000	0+         	-55660      	200     	4.7 S 9          	4.7                          	        	       	EC      	100          
139	GD     	64	75 	0.0000	(9/2-)     	-57632      	196     	5.8 S 9          	5.8                          	        	       	EC      	100          
139	GD     	64	75 	0.0000	(9/2-)     	-57632      	196     	5.8 S 9          	5.8                          	        	       	EP      	0            
140	GD     	64	76 	0.0000	0+         	-61782.278  	27.945  	15.8 S 4         	15.8                         	        	       	EC      	100          
141	GD     	64	77 	0.0000	1/2+       	-63224.231  	19.760  	14 S 4           	14                           	        	       	EC      	100          
141	GD     	64	77 	0.0000	1/2+       	-63224.231  	19.760  	14 S 4           	14                           	        	       	EP      	0.03         
142	GD     	64	78 	0.0000	0+         	-66959.522  	27.945  	70.2 S 6         	70.2                         	        	       	EC      	100          
143	GD     	64	79 	0.0000	(1/2)+     	-68231.311  	200.301 	39 S 2           	39                           	        	       	EC      	100          
144	GD     	64	80 	0.0000	0+         	-71759.511  	27.945  	4.47 M 6         	268.2                        	        	       	EC      	100          
145	GD     	64	81 	0.0000	1/2+       	-72926.626  	19.716  	23.0 M 4         	1380                         	        	       	EC      	100          
146	GD     	64	82 	0.0000	0+         	-76085.823  	4.076   	48.27 D 9        	4170528                      	        	       	EC      	100          
147	GD     	64	83 	0.0000	7/2-       	-75356.928  	1.887   	38.06 H 12       	137016                       	        	       	EC      	100          
148	GD     	64	84 	0.0000	0+         	-76269.419  	1.460   	71.1 Y 12        	2243697436.7934914           	        	       	A       	100          
149	GD     	64	85 	0.0000	7/2-       	-75127.173  	3.310   	9.28 D 10        	801792                       	        	       	EC      	100          
149	GD     	64	85 	0.0000	7/2-       	-75127.173  	3.310   	9.28 D 10        	801792                       	        	       	A       	0.00043      
150	GD     	64	86 	0.0000	0+         	-75764.051  	6.055   	1.79E+6 Y 8      	56486897494519.68            	        	       	A       	100          
151	GD     	64	87 	0.0000	7/2-       	-74188.920  	2.993   	123.9 D 10       	10704960                     	        	       	EC      	100          
151	GD     	64	87 	0.0000	7/2-       	-74188.920  	2.993   	123.9 D 10       	10704960                     	        	       	A       	0.0000008    
152	GD     	64	88 	0.0000	0+         	-74707.304  	1.007   	1.08E14 Y 8      	3.408148005255936e21         	0.20    	0.03   	A       	100          
153	GD     	64	89 	0.0000	3/2-       	-72882.944  	1.002   	240.4 D 10       	20770560                     	        	       	EC      	100          
154	GD     	64	90 	0.0000	0+         	-73706.358  	0.994   	STABLE           	infinity                     	2.18    	0.02   	        	             
155	GD     	64	91 	0.0000	3/2-       	-72070.298  	0.983   	STABLE           	infinity                     	14.80   	0.09   	        	             
156	GD     	64	92 	0.0000	0+         	-72535.333  	0.983   	STABLE           	infinity                     	20.47   	0.03   	        	             
157	GD     	64	93 	0.0000	3/2-       	-70823.896  	0.977   	STABLE           	infinity                     	15.65   	0.04   	        	             
158	GD     	64	94 	0.0000	0+         	-70689.969  	0.976   	STABLE           	infinity                     	24.84   	0.08   	        	             
159	GD     	64	95 	0.0000	3/2-       	-68561.857  	0.980   	18.479 H 4       	66524.4                      	        	       	B-      	100          
160	GD     	64	96 	0.0000	0+         	-67942.060  	1.123   	STABLE           	infinity                     	21.86   	0.03   	        	             
161	GD     	64	97 	0.0000	5/2-       	-65506.142  	1.504   	3.66 M 5         	219.6                        	        	       	B-      	100          
162	GD     	64	98 	0.0000	0+         	-64280.720  	3.963   	8.4 M 2          	504                          	        	       	B-      	100          
163	GD     	64	99 	0.0000	(5/2- 7/2+)	-61388.591  	0.797   	68 S 3           	68                           	        	       	B-      	100          
164	GD     	64	100	0.0000	0+         	-59693.688  	1.000   	45 S 3           	45                           	        	       	B-      	100          
165	GD     	64	101	0.0000	           	-56525.782  	1.304   	10.3 S 16        	10.3                         	        	       	B-      	100          
166	GD     	64	102	0.0000	0+         	-54370.926  	1.584   	4.8 S 10         	4.8                          	        	       	B-      	100          
167	GD     	64	103	0.0000	(5/2-)     	-50775.732  	5.213   	4.26 S +18-32    	4.26                         	        	       	B-      	100          
168	GD     	64	104	0.0000	0+         	-48150      	300     	3.03 S 16        	3.03                         	        	       	B-      	100          
169	GD     	64	105	0.0000	(7/2-)     	-43890      	400     	0.75 S 21        	0.75                         	        	       	B-      	100          
169	GD     	64	105	0.0000	(7/2-)     	-43890      	400     	0.75 S 21        	0.75                         	        	       	B-N     	             
170	GD     	64	106	0.0000	0+         	-40850      	500     	0.41 S +14-12    	0.41                         	        	       	B-      	100          
170	GD     	64	106	0.0000	0+         	-40850      	500     	0.41 S +14-12    	0.41                         	        	       	B-N     	             
171	GD     	64	107	0.0000	           	-36210      	500     	                 	                             	        	       	B-      	100          
171	GD     	64	107	0.0000	           	-36210      	500     	                 	                             	        	       	B-N     	             
172	GD     	64	108	0.0000	0+         	-32970      	300     	                 	                             	        	       	B-      	100          
172	GD     	64	108	0.0000	0+         	-32970      	300     	                 	                             	        	       	B-N     	             
135	TB     	65	70 	0.0000	(7/2-)     	-33053      	400     	0.94 MS +33-22   	0.00094                      	        	       	P       	100          
135	TB     	65	70 	0.0000	(7/2-)     	-33053      	400     	0.94 MS +33-22   	0.00094                      	        	       	EC      	             
138	TB     	65	73 	0.0000	           	-43600      	300     	200 NS           	0.0000002                    	        	       	EC      	100          
139	TB     	65	74 	0.0000	           	-48130      	298     	1.6 S 2          	1.6                          	        	       	EC      	0            
139	TB     	65	74 	0.0000	           	-48130      	298     	1.6 S 2          	1.6                          	        	       	EP      	             
139	TB     	65	74 	0.0000	           	-48130      	298     	1.6 S 2          	1.6                          	        	       	P       	             
140	TB     	65	75 	0.0000	(7+)       	-50482.278  	800.488 	2.29 S 15        	2.29                         	        	       	EC      	100          
140	TB     	65	75 	0.0000	(7+)       	-50482.278  	800.488 	2.29 S 15        	2.29                         	        	       	EP      	0.26         
141	TB     	65	76 	0.0000	(5/2-)     	-54540.843  	105.259 	3.5 S 2          	3.5                          	        	       	EC      	100          
142	TB     	65	77 	0.0000	1+         	-56559.522  	700.558 	597 MS 17        	0.597                        	        	       	EC      	100          
142	TB     	65	77 	0.0000	1+         	-56559.522  	700.558 	597 MS 17        	0.597                        	        	       	EP      	0.0022       
143	TB     	65	78 	0.0000	(11/2-)    	-60419.192  	51.232  	12 S 1           	12                           	        	       	EC      	100          
144	TB     	65	79 	0.0000	1+         	-62368.188  	27.945  	1 S              	1                            	        	       	EC      	100          
145	TB     	65	80 	0.0000	(3/2+)     	-66399.693  	110.896 	                 	                             	        	       	        	             
146	TB     	65	81 	0.0000	1+         	-67763.644  	44.860  	8 S 4            	8                            	        	       	EC      	100          
147	TB     	65	82 	0.0000	(1/2+)     	-70742.674  	8.096   	1.64 H 3         	5904                         	        	       	EC      	100          
148	TB     	65	83 	0.0000	2-         	-70536.947  	12.463  	60 M 1           	3600                         	        	       	EC      	100          
149	TB     	65	84 	0.0000	1/2+       	-71488.639  	3.629   	4.12 H 3         	14832                        	        	       	EC      	83.3         
149	TB     	65	84 	0.0000	1/2+       	-71488.639  	3.629   	4.12 H 3         	14832                        	        	       	A       	16.7         
150	TB     	65	85 	0.0000	(2)-       	-71105.789  	7.371   	3.48 H 16        	12528                        	        	       	EC      	100          
150	TB     	65	85 	0.0000	(2)-       	-71105.789  	7.371   	3.48 H 16        	12528                        	        	       	A       	0.05         
151	TB     	65	86 	0.0000	1/2(+)     	-71623.541  	4.094   	17.609 H 14      	63392.4                      	        	       	EC      	99.9905      
151	TB     	65	86 	0.0000	1/2(+)     	-71623.541  	4.094   	17.609 H 14      	63392.4                      	        	       	A       	0.0095       
152	TB     	65	87 	0.0000	2-         	-70717.304  	40.013  	17.5 H 1         	63000                        	        	       	EC      	100          
152	TB     	65	87 	0.0000	2-         	-70717.304  	40.013  	17.5 H 1         	63000                        	        	       	A       	0.0000007    
153	TB     	65	88 	0.0000	5/2+       	-71313.610  	3.947   	2.34 D 1         	202176                       	        	       	EC      	100          
154	TB     	65	89 	0.0000	0          	-70156.707  	45.309  	21.5 H 4         	77400                        	        	       	EC      	100          
154	TB     	65	89 	0.0000	0          	-70156.707  	45.309  	21.5 H 4         	77400                        	        	       	B-      	0.1          
155	TB     	65	90 	0.0000	3/2+       	-71250.439  	9.830   	5.32 D 6         	459648                       	        	       	EC      	100          
156	TB     	65	91 	0.0000	3-         	-70091.010  	3.768   	5.35 D 10        	462240                       	        	       	EC      	100          
157	TB     	65	92 	0.0000	3/2+       	-70763.848  	1.018   	71 Y 7           	2240541744.196032            	        	       	EC      	100          
158	TB     	65	93 	0.0000	3-         	-69470.883  	1.268   	180 Y 11         	5680246675.42656             	        	       	EC      	83.4         
158	TB     	65	93 	0.0000	3-         	-69470.883  	1.268   	180 Y 11         	5680246675.42656             	        	       	B-      	16.6         
159	TB     	65	94 	0.0000	3/2+       	-69532.582  	1.103   	STABLE           	infinity                     	100     	       	        	             
160	TB     	65	95 	0.0000	3-         	-67836.474  	1.110   	72.3 D 2         	6246720                      	        	       	B-      	100          
161	TB     	65	96 	0.0000	3/2+       	-67461.778  	1.218   	6.89 D 2         	595296                       	        	       	B-      	100          
162	TB     	65	97 	0.0000	1-         	-65879.548  	2.049   	7.60 M 15        	456                          	        	       	B-      	100          
163	TB     	65	98 	0.0000	3/2+       	-64595.754  	4.060   	19.5 M 3         	1170                         	        	       	B-      	100          
164	TB     	65	99 	0.0000	(5+)       	-62104.983  	1.863   	3.0 M 1          	180                          	        	       	B-      	100          
165	TB     	65	100	0.0000	(3/2+)     	-60588.849  	1.541   	2.11 M 10        	126.6                        	        	       	B-      	100          
166	TB     	65	101	0.0000	(2-)       	-57808.778  	1.463   	25.1 S 21        	25.1                         	        	       	B-      	100          
167	TB     	65	102	0.0000	(3/2+)     	-55883.082  	1.929   	19.4 S 27        	19.4                         	        	       	B-      	100          
168	TB     	65	103	0.0000	(4-)       	-52781.181  	4.192   	8.2 S 13         	8.2                          	        	       	B-      	100          
169	TB     	65	104	0.0000	(3/2+)     	-50480      	300     	5.1 S 3          	5.1                          	        	       	B-      	100          
169	TB     	65	104	0.0000	(3/2+)     	-50480      	300     	5.1 S 3          	5.1                          	        	       	B-N     	             
170	TB     	65	105	0.0000	           	-46710      	300     	0.96 S 8         	0.96                         	        	       	B-      	100          
170	TB     	65	105	0.0000	           	-46710      	300     	0.96 S 8         	0.96                         	        	       	B-N     	             
171	TB     	65	106	0.0000	           	-43770      	400     	1.24 S +9-10     	1.24                         	        	       	B-      	100          
171	TB     	65	106	0.0000	           	-43770      	400     	1.24 S +9-10     	1.24                         	        	       	B-N     	             
172	TB     	65	107	0.0000	(6+)       	-39690      	500     	0.76 S 19        	0.76                         	        	       	B-      	100          
172	TB     	65	107	0.0000	(6+)       	-39690      	500     	0.76 S 19        	0.76                         	        	       	B-N     	             
173	TB     	65	108	0.0000	           	-36510      	500     	                 	                             	        	       	B-      	100          
173	TB     	65	108	0.0000	           	-36510      	500     	                 	                             	        	       	B-N     	             
174	TB     	65	109	0.0000	           	-31970      	500     	                 	                             	        	       	B-      	100          
174	TB     	65	109	0.0000	           	-31970      	500     	                 	                             	        	       	B-N     	             
139	DY     	66	73 	0.0000	(7/2+)     	-37700      	500     	0.6 S 2          	0.6                          	        	       	EC      	100          
139	DY     	66	73 	0.0000	(7/2+)     	-37700      	500     	0.6 S 2          	0.6                          	        	       	EP      	11           
140	DY     	66	74 	0.0000	0+         	-42830      	401     	                 	                             	        	       	EC      	             
141	DY     	66	75 	0.0000	(9/2-)     	-45382      	298     	0.9 S 2          	0.9                          	        	       	EC      	100          
141	DY     	66	75 	0.0000	(9/2-)     	-45382      	298     	0.9 S 2          	0.9                          	        	       	EP      	             
142	DY     	66	76 	0.0000	0+         	-50120      	729     	2.3 S 3          	2.3                          	        	       	EC      	100          
142	DY     	66	76 	0.0000	0+         	-50120      	729     	2.3 S 3          	2.3                          	        	       	EP      	0.06         
143	DY     	66	77 	0.0000	(1/2+)     	-52168.949  	13.041  	5.6 S 10         	5.6                          	        	       	EC      	100          
143	DY     	66	77 	0.0000	(1/2+)     	-52168.949  	13.041  	5.6 S 10         	5.6                          	        	       	EP      	             
144	DY     	66	78 	0.0000	0+         	-56570.091  	7.173   	9.1 S 4          	9.1                          	        	       	EC      	100          
144	DY     	66	78 	0.0000	0+         	-56570.091  	7.173   	9.1 S 4          	9.1                          	        	       	EP      	             
145	DY     	66	79 	0.0000	(1/2+)     	-58242.607  	6.520   	6 S 2            	6                            	        	       	EC      	100          
145	DY     	66	79 	0.0000	(1/2+)     	-58242.607  	6.520   	6 S 2            	6                            	        	       	EP      	50           
146	DY     	66	80 	0.0000	0+         	-62554.928  	6.695   	33.2 S 7         	33.2                         	        	       	EC      	100          
147	DY     	66	81 	0.0000	(1/2+)     	-64196.047  	8.849   	67 S 7           	67                           	        	       	EC      	100          
147	DY     	66	81 	0.0000	(1/2+)     	-64196.047  	8.849   	67 S 7           	67                           	        	       	EP      	0.05         
148	DY     	66	82 	0.0000	0+         	-67859.397  	8.724   	3.3 M 2          	198                          	        	       	EC      	100          
149	DY     	66	83 	0.0000	7/2-       	-67693.990  	9.183   	4.2 M 2          	252                          	        	       	EC      	100          
150	DY     	66	84 	0.0000	0+         	-69309.618  	4.319   	7.17 M 5         	430.2                        	        	       	EC      	64           
150	DY     	66	84 	0.0000	0+         	-69309.618  	4.319   	7.17 M 5         	430.2                        	        	       	A       	36           
151	DY     	66	85 	0.0000	7/2(-)     	-68752.388  	3.247   	17.9 M 3         	1074                         	        	       	EC      	94.4         
151	DY     	66	85 	0.0000	7/2(-)     	-68752.388  	3.247   	17.9 M 3         	1074                         	        	       	A       	5.6          
152	DY     	66	86 	0.0000	0+         	-70117.963  	4.593   	2.38 H 2         	8568                         	        	       	EC      	99.9         
152	DY     	66	86 	0.0000	0+         	-70117.963  	4.593   	2.38 H 2         	8568                         	        	       	A       	0.1          
153	DY     	66	87 	0.0000	7/2(-)     	-69143.197  	4.001   	6.4 H 1          	23040                        	        	       	EC      	99.9906      
153	DY     	66	87 	0.0000	7/2(-)     	-69143.197  	4.001   	6.4 H 1          	23040                        	        	       	A       	0.0094       
154	DY     	66	88 	0.0000	0+         	-70394.015  	7.431   	3.0E+6 Y 15      	94670777923776               	        	       	A       	100          
155	DY     	66	89 	0.0000	3/2-       	-69155.939  	9.645   	9.9 H 2          	35640                        	        	       	EC      	100          
156	DY     	66	90 	0.0000	0+         	-70529.386  	0.988   	STABLE           	infinity                     	0.056   	0.003  	2EC     	             
157	DY     	66	91 	0.0000	3/2-       	-69424.669  	5.154   	8.14 H 4         	29304                        	        	       	EC      	100          
158	DY     	66	92 	0.0000	0+         	-70407.152  	2.337   	STABLE           	infinity                     	0.095   	0.003  	        	             
159	DY     	66	93 	0.0000	3/2-       	-69167.220  	1.439   	144.4 D 2        	12476160                     	        	       	EC      	100          
160	DY     	66	94 	0.0000	0+         	-69672.425  	0.700   	STABLE           	infinity                     	2.329   	0.018  	        	             
161	DY     	66	95 	0.0000	5/2+       	-68055.494  	0.697   	STABLE           	infinity                     	18.889  	0.042  	A       	             
162	DY     	66	96 	0.0000	0+         	-68181.169  	0.695   	STABLE           	infinity                     	25.475  	0.036  	        	             
163	DY     	66	97 	0.0000	5/2-       	-66380.858  	0.693   	STABLE           	infinity                     	24.896  	0.042  	        	             
164	DY     	66	98 	0.0000	0+         	-65967.649  	0.695   	STABLE           	infinity                     	28.260  	0.054  	        	             
165	DY     	66	99 	0.0000	7/2+       	-63612.289  	0.697   	2.332 H 4        	8395.2                       	        	       	B-      	100          
166	DY     	66	100	0.0000	0+         	-62584.471  	0.804   	81.6 H 1         	293760                       	        	       	B-      	100          
167	DY     	66	101	0.0000	(1/2-)     	-59911.451  	4.005   	6.20 M 8         	372                          	        	       	B-      	100          
168	DY     	66	102	0.0000	0+         	-58558.398  	140.007 	8.7 M 3          	522                          	        	       	B-      	100          
169	DY     	66	103	0.0000	(5/2)-     	-55596.010  	300.669 	39 S 8           	39                           	        	       	B-      	100          
170	DY     	66	104	0.0000	0+         	-53710      	200     	55 S 8           	55                           	        	       	B-      	100          
171	DY     	66	105	0.0000	           	-50010      	200     	4.1 S 4          	4.1                          	        	       	B-      	100          
172	DY     	66	106	0.0000	0+         	-47760      	300     	160 NS           	0.00000016                   	        	       	B-      	             
173	DY     	66	107	0.0000	(9/2+)     	-43740      	400     	1.43 S 20        	1.43                         	        	       	B-      	100          
174	DY     	66	108	0.0000	0+         	-41130      	500     	160 NS           	0.00000016                   	        	       	B-      	             
175	DY     	66	109	0.0000	           	-36730      	500     	                 	                             	        	       	B-      	100          
175	DY     	66	109	0.0000	           	-36730      	500     	                 	                             	        	       	B-N     	             
176	DY     	66	110	0.0000	0+         	-33610      	500     	                 	                             	        	       	B-      	100          
176	DY     	66	110	0.0000	0+         	-33610      	500     	                 	                             	        	       	B-N     	             
140	HO     	67	73 	0.0000	(6- 0- 8+) 	-29317      	500     	6 MS 3           	0.006                        	        	       	P       	100          
141	HO     	67	74 	0.0000	(7/2-)     	-34364      	401     	4.1 MS 1         	0.0041                       	        	       	P       	100          
142	HO     	67	75 	0.0000	(7- 8+)    	-37250      	401     	0.4 S 1          	0.4                          	        	       	EC      	100          
142	HO     	67	75 	0.0000	(7- 8+)    	-37250      	401     	0.4 S 1          	0.4                          	        	       	EP      	0            
142	HO     	67	75 	0.0000	(7- 8+)    	-37250      	401     	0.4 S 1          	0.4                          	        	       	P       	0            
143	HO     	67	76 	0.0000	(11/2-)    	-42048      	298     	                 	                             	        	       	EC      	             
143	HO     	67	76 	0.0000	(11/2-)    	-42048      	298     	                 	                             	        	       	EP      	             
144	HO     	67	77 	0.0000	(5-)       	-44609.521  	8.477   	0.7 S 1          	0.7                          	        	       	EC      	100          
144	HO     	67	77 	0.0000	(5-)       	-44609.521  	8.477   	0.7 S 1          	0.7                          	        	       	EP      	             
145	HO     	67	78 	0.0000	(11/2-)    	-49120.113  	7.452   	2.4 S 1          	2.4                          	        	       	EC      	100          
146	HO     	67	79 	0.0000	(6-)       	-51238.227  	6.587   	3.32 S 22        	3.32                         	        	       	EC      	100          
146	HO     	67	79 	0.0000	(6-)       	-51238.227  	6.587   	3.32 S 22        	3.32                         	        	       	EP      	             
147	HO     	67	80 	0.0000	(11/2-)    	-55757.101  	5.001   	5.8 S 4          	5.8                          	        	       	EC      	100          
148	HO     	67	81 	0.0000	(1+)       	-57991.166  	83.834  	2.2 S 11         	2.2                          	        	       	EC      	100          
149	HO     	67	82 	0.0000	(11/2-)    	-61645.854  	11.985  	21.0 S 2         	21                           	        	       	EC      	100          
150	HO     	67	83 	0.0000	(2)-       	-61945.892  	14.168  	72 S 4           	72                           	        	       	EC      	100          
151	HO     	67	84 	0.0000	(11/2-)    	-63622.746  	8.298   	35.2 S 1         	35.2                         	        	       	EC      	78           
151	HO     	67	84 	0.0000	(11/2-)    	-63622.746  	8.298   	35.2 S 1         	35.2                         	        	       	A       	22           
152	HO     	67	85 	0.0000	2-         	-63604.636  	12.528  	161.8 S 3        	161.8                        	        	       	EC      	88           
152	HO     	67	85 	0.0000	2-         	-63604.636  	12.528  	161.8 S 3        	161.8                        	        	       	A       	12           
153	HO     	67	86 	0.0000	11/2-      	-65012.074  	5.066   	2.01 M 3         	120.6                        	        	       	EC      	99.949       
153	HO     	67	86 	0.0000	11/2-      	-65012.074  	5.066   	2.01 M 3         	120.6                        	        	       	A       	0.051        
154	HO     	67	87 	0.0000	2-         	-64639.378  	8.216   	11.76 M 19       	705.6                        	        	       	EC      	99.981       
