A  	Element	Z 	N  	Energy	JPi        	Mass Exc    	Unc     	T1/2 (txt)       	T1/2 (seconds)               	Abund.  	Unc    	Dec Mode	Branching (%)
20 	F      	9 	11 	0.0000	2+         	-17.463     	0.030   	11.07 S 6        	11.07                        	        	       	B-      	100          
21 	F      	9 	12 	0.0000	5/2+       	-47.605     	1.800   	4.158 S 20       	4.158                        	        	       	B-      	100          
22 	F      	9 	13 	0.0000	(4+)       	2793.376    	12.399  	4.23 S 4         	4.23                         	        	       	B-      	100          
22 	F      	9 	13 	0.0000	(4+)       	2793.376    	12.399  	4.23 S 4         	4.23                         	        	       	B-N     	11           
23 	F      	9 	14 	0.0000	(5/2+)     	3285.263    	33.320  	2.23 S 14        	2.23                         	        	       	B-      	100          
23 	F      	9 	14 	0.0000	(5/2+)     	3285.263    	33.320  	2.23 S 14        	2.23                         	        	       	B-N     	14           
24 	F      	9 	15 	0.0000	(3+)       	7544.516    	97.670  	382 MS 16        	0.382                        	        	       	B-      	100          
24 	F      	9 	15 	0.0000	(3+)       	7544.516    	97.670  	382 MS 16        	0.382                        	        	       	B-N     	5.9          
25 	F      	9 	16 	0.0000	5/2+       	11334.167   	96.442  	80 MS 9          	0.08                         	        	       	B-      	100          
25 	F      	9 	16 	0.0000	5/2+       	11334.167   	96.442  	80 MS 9          	0.08                         	        	       	B-N     	23.1         
26 	F      	9 	17 	0.0000	1+         	18674.655   	107.027 	8.2 MS 9         	0.0082                       	        	       	B-      	100          
26 	F      	9 	17 	0.0000	1+         	18674.655   	107.027 	8.2 MS 9         	0.0082                       	        	       	B-N     	13.5         
27 	F      	9 	18 	0.0000	(5/2+)     	25133.478   	120.198 	5.0 MS 2         	0.005                        	        	       	B-      	100          
27 	F      	9 	18 	0.0000	(5/2+)     	25133.478   	120.198 	5.0 MS 2         	0.005                        	        	       	B-N     	77           
28 	F      	9 	19 	0.0000	           	33403.796   	120.347 	0.046 AS         	4.6e-20                      	        	       	N       	100          
29 	F      	9 	20 	0.0000	           	40150.190   	525.363 	2.5 MS 3         	0.0025                       	        	       	B-      	100          
29 	F      	9 	20 	0.0000	           	40150.190   	525.363 	2.5 MS 3         	0.0025                       	        	       	B-N     	100          
30 	F      	9 	21 	0.0000	           	48960       	500     	                 	                             	        	       	N       	             
31 	F      	9 	22 	0.0000	           	56843       	535     	                 	                             	        	       	B-      	100          
31 	F      	9 	22 	0.0000	           	56843       	535     	                 	                             	        	       	B2N     	             
31 	F      	9 	22 	0.0000	           	56843       	535     	                 	                             	        	       	B7N     	             
15 	NE     	10	5  	0.0000	(3/2-)     	40215.374   	66.684  	0.59 MEV         	7.732842628328571e-22        	        	       	2P      	100          
16 	NE     	10	6  	0.0000	0+         	23986.775   	20.480  	80 KEV           	5.702971438392322e-21        	        	       	2P      	100          
17 	NE     	10	7  	0.0000	1/2-       	16500.452   	0.354   	109.2 MS 6       	0.1092                       	        	       	EC      	100          
17 	NE     	10	7  	0.0000	1/2-       	16500.452   	0.354   	109.2 MS 6       	0.1092                       	        	       	EP      	95.2         
17 	NE     	10	7  	0.0000	1/2-       	16500.452   	0.354   	109.2 MS 6       	0.1092                       	        	       	EA      	2.77         
18 	NE     	10	8  	0.0000	0+         	5317.617    	0.363   	1672 MS 8        	1.672                        	        	       	EC      	100          
19 	NE     	10	9  	0.0000	1/2+       	1752.054    	0.160   	17.22 S 2        	17.22                        	        	       	EC      	100          
20 	NE     	10	10 	0.0000	0+         	-7041.93217 	0.00154 	STABLE           	infinity                     	90.48   	0.03   	        	             
21 	NE     	10	11 	0.0000	3/2+       	-5731.776   	0.038   	STABLE           	infinity                     	0.27    	0.01   	        	             
22 	NE     	10	12 	0.0000	0+         	-8024.716   	0.018   	STABLE           	infinity                     	9.25    	0.03   	        	             
23 	NE     	10	13 	0.0000	5/2+       	-5154.045   	0.104   	37.25 S 10       	37.25                        	        	       	B-      	100          
24 	NE     	10	14 	0.0000	0+         	-5951.642   	0.513   	3.38 M 2         	202.8                        	        	       	B-      	100          
25 	NE     	10	15 	0.0000	1/2+       	-2035.503   	29.045  	602 MS 8         	0.602                        	        	       	B-      	100          
26 	NE     	10	16 	0.0000	0+         	481.114     	18.429  	197 MS 2         	0.197                        	        	       	B-      	100          
26 	NE     	10	16 	0.0000	0+         	481.114     	18.429  	197 MS 2         	0.197                        	        	       	B-N     	0.13         
27 	NE     	10	17 	0.0000	(3/2+)     	7050.910    	90.770  	31.5 MS 13       	0.0315                       	        	       	B-      	100          
27 	NE     	10	17 	0.0000	(3/2+)     	7050.910    	90.770  	31.5 MS 13       	0.0315                       	        	       	B-N     	2            
28 	NE     	10	18 	0.0000	0+         	11299.738   	126.068 	20 MS 1          	0.02                         	        	       	B-      	100          
28 	NE     	10	18 	0.0000	0+         	11299.738   	126.068 	20 MS 1          	0.02                         	        	       	B-N     	12           
28 	NE     	10	18 	0.0000	0+         	11299.738   	126.068 	20 MS 1          	0.02                         	        	       	B2N     	3.7          
29 	NE     	10	19 	0.0000	(3/2+)     	18399.803   	149.505 	15 MS 3          	0.015                        	        	       	B-      	100          
29 	NE     	10	19 	0.0000	(3/2+)     	18399.803   	149.505 	15 MS 3          	0.015                        	        	       	B-N     	28           
29 	NE     	10	19 	0.0000	(3/2+)     	18399.803   	149.505 	15 MS 3          	0.015                        	        	       	B2N     	4            
